,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G
25,122.5042419433594,9.953779597292899,125.0,942.214215404354,30.69550806558435,-0.4083156630612741,0.3401205383660457,6.947639887506218,507.2177849264706,0.01290510493943903,0.07632316185543993,0.7311294825276365
26,101.7774200439453,10.32086471246891,101.0,1495.701236361405,38.67429684378767,-0.1198824238490856,-1.33268706591633,6.981955433913828,109.0859221813726,0.0202977883279579,0.1789863408147467,0.9635534060565866
27,126.2908630371094,9.648983094391832,131.0,1196.51375684794,34.59065996548694,-1.081009749292934,2.352709640265782,6.967536617396502,957.1675398284316,0.01286983524811897,0.06094700258432604,0.6010487136717111
28,125.2912445068359,10.06333929317164,130.0,2190.179535157746,46.79935400363712,-0.5435504247807621,-0.04827030064753179,7.425679883098469,930.9759037990198,0.01096126739476808,0.0690186312316168,0.7877386609179855
29,107.5978698730469,10.29799820789671,109.0,2326.516697122715,48.23397865740204,0.07380137422192731,-0.4810868745244425,7.569676647550031,2182.012944240196,0.00910199792250451,0.04938496870371939,0.531670744344052
30,130.3361663818359,10.2327430414023,137.0,1628.860731787747,40.35914681689575,-0.7447875775399678,0.1074650501142234,7.222093324163895,577.2873621323529,0.01505494567706695,0.1334494280386845,0.8230712682022264
31,147.0816955566406,9.882503700709211,141.0,686.4082428282127,26.19939394009359,0.1821360049624751,0.2413843842584096,6.532660798577592,13.14707414215686,0.04524553639380677,0.4275438921983873,0.9904447423875758
32,121.6441192626953,10.23858826084902,126.0,2373.615063378355,48.71976050206276,-0.2445979579171681,-0.4293515485261388,7.541785172396784,1818.327849264705,0.01030764932580181,0.0537210621414899,0.6177480654604968
33,133.1841583251953,9.849715299413084,137.0,1196.2859251888,34.58736655469451,-1.050247208475749,2.763044613772078,6.963717109646762,621.9663602941176,0.01729943117440145,0.1380055350139498,0.7401044490272124
34,123.0609130859375,9.177581207822238,127.0,457.8763860315084,21.39804631342563,-0.4537652336271765,-0.04954739691253751,6.360755848627695,182.9764246323529,0.02085883000433164,0.1154575101250777,0.8002392467224901
35,126.8279571533203,9.211017844486314,127.0,568.6879152969923,23.84717835084462,-0.6149162332717746,3.548645638223753,6.514517815454268,731.7035232843137,0.01553317887779563,0.05711395678229668,0.3579948300302697
36,115.7298431396484,10.57562271340876,129.0,4359.333921398735,66.02525214945214,-0.3069096534677065,-1.187042062895045,7.497355292225539,633.1536305147059,0.04212120068071292,0.1930282862720432,0.9274651014220853
37,222.0371856689453,7.790945852736588,249.0,2998.33154874458,54.7570228257945,-1.989609599159646,2.954914212113669,5.661425928062567,1315.161734068628,0.1603670592349758,0.28061306831762,0.7813006392106414
38,126.9319915771484,9.279274470150282,132.0,910.4447614511009,30.17357720674002,-1.459030500445062,4.176637671750377,6.662298703963606,465.3345588235294,0.01922567693244295,0.1076145954542162,0.7450871010291641
39,158.0941314697266,10.51103212175895,164.0,1236.457859847462,35.16330274373358,-1.592094539361867,3.934246342802972,6.898003870437923,820.4839767156863,0.01299409740713028,0.05837812926016333,0.6688971556404727
40,118.5258178710938,10.24536027802646,120.0,2383.066655214876,48.81666370426062,-0.1443683965458007,-0.625403178360346,7.54220632900676,934.7684283088236,0.01021856943020985,0.0708726792286228,0.8041100186083929
41,101.1721649169922,9.002377513930435,116.0,2529.915534412256,50.29826571972691,-0.9317483962647607,-0.09246790719340403,6.52055165715075,624.2198835784312,0.1311975364459275,0.1848400912822892,0.8759320502045193
42,100.3851013183594,9.053265095351994,121.0,3331.757885939442,57.72138153179844,-0.6753729963828159,-0.891536214655885,6.766935353169671,680.7329656862747,0.1214801000319797,0.23581025648308,0.897460475828793
43,103.7749328613281,10.19387711399516,105.0,979.0885964920744,31.2903914403779,-0.06328368845843983,-0.4581240015852455,6.990209578931963,190.8277726715687,0.01589198149137099,0.1257287947456512,0.9025137577389475
