Mean_R,RMS_R,Median_R,Variance_R,Std_R,Skewness_R,Kurtosis_R,Contrast_R,Entropy_R,Energy_R,Homogeneity_R,Correlation_R,IDM_R,Smoothness_R,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G,IDM_G,Smoothness_G,Mean_B,RMS_B,Median_B,Variance_B,Std_B,Skewness_B,Kurtosis_B,Contrast_B,Entropy_B,Energy_B,Homogeneity_B,Correlation_B,IDM_B,Smoothness_B,Label
0.39943689,0.409260717,0.388888889,0.007944505,0.089131955,0.220870708,-0.276147983,6.496316106,200.2091605,0.019700934,0.120677859,0.806271323,0.004970439,0.003054947,0.452002934,0.460083575,0.388888889,0.007370244,0.085850123,-0.540530222,0.192784263,6.394804899,202.4692862,0.020739758,0.120460928,0.790264059,0.004915248,0.003089433,0.393933917,0.406227175,0.388888889,0.009836587,0.09917957,0.333221692,-0.602111513,6.587135945,199.07428,0.019161907,0.120370245,0.844477004,0.004998622,0.003037629,1
0.57736358,0.591207011,0.571428571,0.016177027,0.127188942,-0.259930038,0.070710454,6.872626273,28.58849571,0.029616489,0.311677878,0.986442881,0.033830782,0.000436022,0.658935151,0.673057634,0.571428571,0.018811046,0.137153366,-0.046992731,-0.847970129,6.940522343,26.75790441,0.028297473,0.322383218,0.989086251,0.036062538,0.00040806,0.365571786,0.423033195,0.571428571,0.045314354,0.212871684,-0.023758686,-1.395518748,7.26999574,27.64620098,0.025964129,0.311492707,0.995312524,0.034940312,0.000421603,1
0.376999081,0.411141291,0.4,0.026908854,0.164039184,-0.502677573,-0.374421895,7.215746657,574.4767157,0.019253912,0.159918117,0.835900852,0.001737748,0.008765463,0.386503511,0.41847839,0.4,0.025739199,0.160434406,-0.709274213,-0.021867118,7.139684207,574.4000766,0.019528024,0.159425591,0.82855036,0.00173798,0.008764243,0.363553814,0.411315412,0.4,0.037008993,0.192377215,-0.155395626,-0.988846373,7.421632067,567.5654871,0.016418139,0.15941937,0.882039122,0.001758863,0.00865997,1
0.498573932,0.504345796,0.498039216,0.005788717,0.076083617,0.045192458,2.234224159,6.267534523,73.82657782,0.030841081,0.237820319,0.902067541,0.013369746,0.001126341,0.535464178,0.541619966,0.498039216,0.006630301,0.081426661,-0.323924526,1.86769804,6.366368617,73.01527267,0.029795947,0.239995981,0.915461074,0.013516166,0.001113972,0.422851922,0.441595768,0.498039216,0.016203075,0.127291298,-0.454306977,-0.788354145,6.866086135,69.779519,0.025006607,0.235949448,0.966925166,0.014133374,0.001064569,1
0.500813742,0.532341647,0.57254902,0.032573224,0.180480537,-1.042790911,-0.101467019,7.045798421,331.4340074,0.015659144,0.091955827,0.921940423,0.003008258,0.005057144,0.487368296,0.5058757,0.57254902,0.018382368,0.135581592,-1.288735677,1.382530773,6.858546159,328.3707721,0.016073818,0.091984446,0.862942173,0.00303624,0.00501036,0.434526152,0.474984199,0.57254902,0.036797013,0.191825476,-0.793049981,-0.770181982,7.076168476,327.9971201,0.015074946,0.09261853,0.931601629,0.00303968,0.005004649,1
0.487881889,0.558672256,0.549019608,0.074085952,0.272187347,-0.354384172,-1.12867895,7.680266676,697.4894148,0.019461434,0.17364117,0.927640655,0.001431701,0.01064164,0.480787988,0.54534754,0.549019608,0.06624685,0.257384635,-0.407371014,-0.99376941,7.660751299,695.8876225,0.018247295,0.173530895,0.919279622,0.001434989,0.010617152,0.442274086,0.525257469,0.549019608,0.080289042,0.283353211,-0.158016766,-1.224603246,7.68999278,690.2752757,0.021653984,0.176998718,0.933910333,0.001446647,0.010531608,1
0.512301649,0.521287442,0.523012552,0.009287618,0.096372288,-0.226398977,-0.665629346,6.434465866,302.9744945,0.020914409,0.117235733,0.749953873,0.003289976,0.004622998,0.570627827,0.575570361,0.523012552,0.005665123,0.075267011,-0.273036085,1.404268961,6.120870022,301.7188725,0.024942724,0.11756618,0.591324627,0.003303667,0.004603843,0.504004506,0.51646984,0.523012552,0.012720553,0.112785429,-0.244938114,-0.951912346,6.595804457,302.7344975,0.020078134,0.118543585,0.817525271,0.003292567,0.004619327,1
0.493526025,0.519958606,0.51372549,0.026789015,0.1636735,-0.453572157,-0.085868604,7.356238195,1163.57621,0.009443558,0.048371507,0.666464898,0.000858688,0.017754444,0.484420178,0.50932727,0.51372549,0.024751359,0.157325648,-0.363302293,0.467695709,7.294911035,1161.856939,0.009783819,0.048272065,0.639610914,0.000859958,0.01772817,0.409505627,0.456302309,0.51372549,0.040516938,0.201288197,-0.486038987,-0.798589379,7.454422058,1151.805913,0.010888732,0.052913452,0.781646827,0.000867457,0.017574795,1
0.460385311,0.495758115,0.474509804,0.033821474,0.183906156,-0.39290949,-0.410518689,7.423509072,406.6549786,0.014961618,0.139456992,0.907543554,0.002453145,0.006205062,0.456102439,0.486451196,0.474509804,0.028605332,0.169131108,-0.679886042,0.224329484,7.246043889,404.494761,0.015837461,0.141531129,0.891338502,0.002466219,0.006172096,0.275589827,0.340792498,0.474509804,0.040189774,0.200473873,0.777577386,-0.492669294,7.340733455,404.7459559,0.015429881,0.142074508,0.922140348,0.00246469,0.006175925,1
0.455252913,0.501360365,0.490196078,0.044107001,0.210016668,-0.383682001,-0.860243001,7.567426544,528.4091605,0.013648132,0.110794843,0.907971737,0.001888947,0.008062864,0.422313675,0.468112647,0.490196078,0.04078061,0.201942096,-0.346107091,-0.848794903,7.524474558,526.8751685,0.01374051,0.111502948,0.900757352,0.001894437,0.008039439,0.355810966,0.42310409,0.490196078,0.052415628,0.228944595,0.097085954,-1.360851953,7.545475128,511.8996324,0.013721061,0.114647119,0.924917381,0.001949751,0.007810919,1
