,Mean,RMS,Median,Variance,Std,Skewness,Kurtosis,Contrast,Entropy,Energy,Homogeneity,Correlation,IDM,Smoothness
270,0.377122950295841,0.391832625568667,0.3654098039215686,0.01131108682019583,0.106353593358174,0.02910529306192825,-0.3915535051029089,12.51305268463229,242.8695465686275,0.01703333561957705,0.1212365201618872,0.8361351902774027,0.004100839424379735,0.003705892319025122
271,0.4839053638473212,0.5117391383271953,0.5179439215686275,0.02771254453565204,0.1664708519100327,-1.057269012247402,1.071965672059005,12.75728996836669,711.0036151960784,0.01668916479538224,0.1247581724977103,0.8031734929576794,0.001404520172265161,0.01084869669635037
272,0.4371833479279162,0.4514763704241714,0.4530466666666667,0.0127016333459221,0.1127015232635394,-0.7176125450311854,0.2359783716519841,12.82529297963462,269.6616881127451,0.0168186251739473,0.113535469011751,0.8371697544880395,0.003694878834737796,0.004114310544199728
273,0.4522790737615847,0.4876826023169951,0.4590003921568627,0.03327796004003936,0.1824224767950467,-0.2018709699551625,-0.1670850520894449,12.43369722784017,1234.179258578431,0.01000668746106499,0.06018036447163052,0.7153092451878723,0.0008096056459218522,0.01883151593435125
274,0.5770812266091739,0.5985656510366059,0.6093733333333333,0.02525809649612706,0.1589279600829478,-1.090164594373669,1.422848168148366,12.65011834477925,882.4501225490197,0.01122018093578003,0.05182836818356807,0.7316770140966335,0.00113194019113203,0.01346505997021443
275,0.4572516124231675,0.4978141960765331,0.5200639215686275,0.0387399367517383,0.1968246345144284,-1.051962597463146,0.1101876497125773,12.52274496643073,649.4526194852941,0.03783205418249953,0.1569136334451142,0.871334295613218,0.001537480419148549,0.00990978623575666
276,0.4662671744013767,0.4797450858845335,0.464581568627451,0.01275026950611457,0.1129170912931898,-0.4471892758174998,2.747534963934213,12.16836653915227,663.121461397059,0.01654868423721897,0.08411394061189228,0.6012513736922976,0.001505786180552513,0.01011842164261104
277,0.4913021742398131,0.5073610796248419,0.5206513725490196,0.01603743870531745,0.1266390094138352,-1.503512534507099,3.245628302598473,12.22302546825528,637.7201133578433,0.01684851258448628,0.08219772129899669,0.6950356759897665,0.001565672284832103,0.009730778335747967
278,0.6137913186106962,0.6330186976469616,0.6478811764705883,0.02397288876879814,0.154831808000805,-1.445345053570479,2.078675515771569,13.25973974187732,396.8055759803922,0.01658370015221748,0.1038959187762803,0.8728329694191623,0.002513895606481504,0.006054551710246824
279,0.513065138837029,0.5288481159911494,0.5221341176470589,0.0164444930975284,0.1282360834458399,-0.471171071074015,0.9569259962100167,13.10363540226286,34.12392769607843,0.03025265647741222,0.3101484661924409,0.9841196439265306,0.02849516327006398,0.0005206748257544763
280,0.4130553608613855,0.4575119191466315,0.435501568627451,0.03870242502490449,0.1967293191796904,-0.2603860221132027,-0.7305053071299605,13.85122221690986,748.8112745098039,0.01181353241670599,0.09288899240925692,0.8508551187618744,0.001333689942503384,0.01142447628832778
281,0.413766941282983,0.4405494264792115,0.4082629411764706,0.02288071547248671,0.151263728211646,-0.07269918069880385,-0.9108239005909646,12.60301823345262,273.0639552696079,0.01304762238444471,0.1048522837650177,0.9081259695950041,0.003648957080949596,0.004165695889526029
282,0.5892059953098671,0.6144129226020039,0.6194335294117648,0.0303395345512448,0.1741824748682967,-1.054604032197105,0.8719184695541582,13.41711129191108,603.8212162990197,0.01814738255181926,0.151665993187907,0.8471117994675637,0.001653430763490578,0.009213384866298408
283,0.6749621148382449,0.6824976221472734,0.668101568627451,0.01022914776976627,0.1011392494028222,-0.1106954216023302,-0.2982358232682234,12.96086832158623,97.6044117647059,0.02257598799242998,0.1948512483316575,0.9269827197721529,0.01014385654437382,0.001489122213422679
